# Poly-100, dt=2us, front-radius.dat (cols: time R_front R_area R_anal err_front err_area)
# Front radius analysis for Scriven-Poly-100
# dt = 2.00e-06 s
# Columns: time[s]  R_front[m]  R_area[m]  R_anal[m]  err_front[%]  err_area[%]  n_elems  surface_area[m2]
1.06000000e-03    1.12261844e-04    1.13364984e-04    1.19211287e-04    5.8295    4.9042   20638    1.61498214e-07
1.08000000e-03    1.13201577e-04    1.14336723e-04    1.20134505e-04    5.7710    4.8261   20959    1.64278733e-07
1.10000000e-03    1.14131659e-04    1.15283519e-04    1.21050683e-04    5.7158    4.7643   21460    1.67010707e-07
1.12000000e-03    1.15053630e-04    1.16250690e-04    1.21959979e-04    5.6628    4.6813   21792    1.69824735e-07
1.14000000e-03    1.15974502e-04    1.17195277e-04    1.22862545e-04    5.6063    4.6127   22099    1.72595745e-07
1.16000000e-03    1.16891573e-04    1.18149291e-04    1.23758529e-04    5.5487    4.5324   22408    1.75417170e-07
1.18000000e-03    1.17800861e-04    1.19093737e-04    1.24648072e-04    5.4932    4.4560   22971    1.78232833e-07
1.20000000e-03    1.18701689e-04    1.20031274e-04    1.25531312e-04    5.4406    4.3814   23293    1.81050069e-07
1.22000000e-03    1.19604238e-04    1.20978080e-04    1.26408381e-04    5.3827    4.2958   23469    1.83917578e-07
1.24000000e-03    1.20504096e-04    1.21925352e-04    1.27279407e-04    5.3232    4.2065   23946    1.86809044e-07
1.26000000e-03    1.21393001e-04    1.22844050e-04    1.28144512e-04    5.2687    4.1363   24430    1.89634835e-07
1.28000000e-03    1.22279087e-04    1.23764538e-04    1.29003816e-04    5.2128    4.0613   24758    1.92487403e-07
1.30000000e-03    1.23163419e-04    1.24702310e-04    1.29857433e-04    5.1549    3.9698   25041    1.95415433e-07
1.32000000e-03    1.24044145e-04    1.25621596e-04    1.30705476e-04    5.0964    3.8896   25474    1.98307197e-07
1.34000000e-03    1.24918053e-04    1.26536668e-04    1.31548052e-04    5.0400    3.8095   25923    2.01206798e-07
1.36000000e-03    1.25787360e-04    1.27454401e-04    1.32385265e-04    4.9839    3.7246   26309    2.04135971e-07
1.38000000e-03    1.26654884e-04    1.28379206e-04    1.33217217e-04    4.9260    3.6317   26564    2.07109126e-07
1.40000000e-03    1.27517317e-04    1.29286593e-04    1.34044006e-04    4.8691    3.5491   26877    2.10047175e-07
1.42000000e-03    1.28373195e-04    1.30204839e-04    1.34865726e-04    4.8141    3.4559   27326    2.13041451e-07
1.44000000e-03    1.29230139e-04    1.31116370e-04    1.35682469e-04    4.7555    3.3653   27657    2.16034790e-07
1.46000000e-03    1.30079168e-04    1.32028488e-04    1.36494326e-04    4.6999    3.2718   28270    2.19050962e-07
1.48000000e-03    1.30922462e-04    1.32926674e-04    1.37301382e-04    4.6459    3.1862   28416    2.22041493e-07
1.50000000e-03    1.31766051e-04    1.33834154e-04    1.38103722e-04    4.5891    3.0916   28890    2.25083562e-07
1.52000000e-03    1.32605600e-04    1.34739974e-04    1.38901427e-04    4.5326    2.9960   29294    2.28140706e-07
1.54000000e-03    1.33439103e-04    1.35640804e-04    1.39694578e-04    4.4780    2.9019   29812    2.31201461e-07
1.56000000e-03    1.34267067e-04    1.36538861e-04    1.40483250e-04    4.4249    2.8077   30144    2.34273094e-07
1.58000000e-03    1.35095269e-04    1.37421056e-04    1.41267519e-04    4.3692    2.7228   30458    2.37310212e-07
1.60000000e-03    1.35919429e-04    1.38317440e-04    1.42047459e-04    4.3141    2.6259   30857    2.40416210e-07
1.62000000e-03    1.36739502e-04    1.39210793e-04    1.42823139e-04    4.2596    2.5292   31353    2.43531801e-07
1.64000000e-03    1.37552302e-04    1.40106669e-04    1.43594629e-04    4.2079    2.4290   31667    2.46676331e-07
1.66000000e-03    1.38363896e-04    1.41001667e-04    1.44361997e-04    4.1549    2.3277   32077    2.49837922e-07
1.68000000e-03    1.39170463e-04    1.41891554e-04    1.45125306e-04    4.1032    2.2282   32479    2.53001418e-07
1.70000000e-03    1.39972911e-04    1.42769929e-04    1.45884622e-04    4.0523    2.1350   32884    2.56143507e-07
1.72000000e-03    1.40772066e-04    1.43648872e-04    1.46640007e-04    4.0016    2.0398   33277    2.59307037e-07
1.74000000e-03    1.41565979e-04    1.44526297e-04    1.47391520e-04    3.9524    1.9440   33801    2.62484472e-07
1.76000000e-03    1.42354685e-04    1.45411924e-04    1.48139220e-04    3.9048    1.8410   34246    2.65711229e-07
1.78000000e-03    1.43136852e-04    1.46302649e-04    1.48883166e-04    3.8596    1.7332   34639    2.68976442e-07
1.80000000e-03    1.43914371e-04    1.47168193e-04    1.49623413e-04    3.8156    1.6409   35074    2.72168448e-07
