# Scriven-Struct-75-smallDt, last segment (cols: time surface volume rad_volume [rad_front])
0.10000000E-05    0.31210879E-07    0.52468635E-12    0.50034595E-04    0.49784832E-04
0.20000000E-05    0.31325587E-07    0.52741876E-12    0.50121299E-04    0.49875433E-04
0.30000000E-05    0.31437411E-07    0.53008154E-12    0.50205507E-04    0.49964192E-04
0.40000000E-05    0.31548247E-07    0.53272098E-12    0.50288699E-04    0.50052524E-04
0.50000000E-05    0.31659610E-07    0.53537713E-12    0.50372140E-04    0.50140414E-04
0.60000000E-05    0.31770188E-07    0.53801428E-12    0.50454712E-04    0.50227689E-04
0.70000000E-05    0.31880090E-07    0.54064009E-12    0.50536661E-04    0.50313933E-04
0.80000000E-05    0.31991230E-07    0.54329849E-12    0.50619358E-04    0.50401169E-04
0.90000000E-05    0.32101304E-07    0.54594287E-12    0.50701351E-04    0.50487713E-04
0.10000000E-04    0.32209734E-07    0.54855132E-12    0.50781971E-04    0.50572834E-04
0.11000000E-04    0.32318017E-07    0.55116349E-12    0.50862450E-04    0.50657729E-04
0.12000000E-04    0.32427999E-07    0.55381940E-12    0.50944017E-04    0.50743808E-04
0.13000000E-04    0.32536675E-07    0.55644149E-12    0.51024289E-04    0.50827697E-04
0.14000000E-04    0.32646888E-07    0.55909569E-12    0.51105289E-04    0.50913659E-04
0.15000000E-04    0.32756023E-07    0.56172123E-12    0.51185161E-04    0.50998273E-04
0.16000000E-04    0.32866493E-07    0.56437432E-12    0.51265620E-04    0.51083977E-04
0.17000000E-04    0.32978746E-07    0.56706916E-12    0.51347087E-04    0.51171481E-04
0.18000000E-04    0.33091666E-07    0.56977370E-12    0.51428588E-04    0.51259380E-04
0.19000000E-04    0.33204703E-07    0.57248147E-12    0.51509928E-04    0.51346525E-04
0.20000000E-04    0.33318006E-07    0.57518843E-12    0.51590988E-04    0.51434464E-04
0.21000000E-04    0.33430697E-07    0.57787719E-12    0.51671252E-04    0.51521550E-04
0.22000000E-04    0.33543283E-07    0.58056726E-12    0.51751306E-04    0.51608228E-04
0.23000000E-04    0.33654832E-07    0.58323781E-12    0.51830534E-04    0.51693425E-04
0.24000000E-04    0.33767417E-07    0.58592696E-12    0.51910071E-04    0.51780358E-04
0.25000000E-04    0.33881182E-07    0.58864097E-12    0.51990097E-04    0.51867447E-04
0.26000000E-04    0.33995945E-07    0.59138667E-12    0.52070807E-04    0.51955796E-04
0.27000000E-04    0.34111836E-07    0.59416033E-12    0.52152086E-04    0.52045709E-04
0.28000000E-04    0.34224194E-07    0.59686136E-12    0.52230993E-04    0.52132537E-04
0.29000000E-04    0.34337358E-07    0.59958658E-12    0.52310367E-04    0.52218835E-04
