# Poly-75, dt=2us, front-radius.dat (cols: time R_front R_area R_anal err_front err_area)
# Front radius analysis for old_run
# dt = 2.00e-06 s
# Columns: time[s]  R_front[m]  R_area[m]  R_anal[m]  err_front[%]  err_area[%]  n_elems  surface_area[m2]
2.00000000e-05    5.12620093e-05    5.14794594e-05    5.21629035e-05    1.7271    1.3102    2417    3.33025753e-08
4.00000000e-05    5.27672090e-05    5.30338224e-05    5.42396259e-05    2.7147    2.2231    2617    3.53440021e-08
6.00000000e-05    5.42510834e-05    5.44695013e-05    5.62397148e-05    3.5360    3.1476    2643    3.72834989e-08
8.00000000e-05    5.57205365e-05    5.59558547e-05    5.81710755e-05    4.2126    3.8081    2855    3.93460311e-08
1.00000000e-04    5.71341018e-05    5.74018776e-05    6.00403409e-05    4.8405    4.3945    3012    4.14058840e-08
1.20000000e-04    5.85386818e-05    5.87993927e-05    6.18531409e-05    5.3586    4.9371    3099    4.34465750e-08
1.40000000e-04    5.99153821e-05    6.01862187e-05    6.36143030e-05    5.8146    5.3889    3284    4.55201812e-08
1.60000000e-04    6.12714964e-05    6.15540406e-05    6.53280036e-05    6.2094    5.7769    3426    4.76127205e-08
1.80000000e-04    6.26089851e-05    6.29075329e-05    6.69978847e-05    6.5508    6.1052    3655    4.97296235e-08
2.00000000e-04    6.39254170e-05    6.42240570e-05    6.86271453e-05    6.8511    6.4160    3723    5.18328795e-08
2.20000000e-04    6.52287158e-05    6.55402651e-05    7.02186127e-05    7.1062    6.6625    3901    5.39791761e-08
2.40000000e-04    6.65189153e-05    6.68419714e-05    7.17748012e-05    7.3227    6.8726    4072    5.61446482e-08
2.60000000e-04    6.77941698e-05    6.81242009e-05    7.32979576e-05    7.5088    7.0585    4240    5.83193542e-08
2.80000000e-04    6.90468625e-05    6.93806917e-05    7.47901002e-05    7.6791    7.2328    4428    6.04904917e-08
3.00000000e-04    7.02886499e-05    7.06312388e-05    7.62530498e-05    7.8219    7.3726    4549    6.26907566e-08
3.20000000e-04    7.15247516e-05    7.18687068e-05    7.76884554e-05    7.9339    7.4911    4674    6.49066993e-08
3.40000000e-04    7.27462740e-05    7.30922829e-05    7.90978167e-05    8.0300    7.5925    4875    6.71356066e-08
