# Poly-150, dt=2us, front-radius.dat (cols: time R_front R_area R_anal err_front err_area)
# Front radius analysis for Scriven-Poly-150
# dt = 2.00e-06 s
# Columns: time[s]  R_front[m]  R_area[m]  R_anal[m]  err_front[%]  err_area[%]  n_elems  surface_area[m2]
2.00000000e-05    5.16302905e-05    5.18433772e-05    5.21629035e-05    1.0211    0.6126    9916    3.37750837e-08
4.00000000e-05    5.33914206e-05    5.36056160e-05    5.42396259e-05    1.5638    1.1689   10522    3.61102460e-08
6.00000000e-05    5.50950829e-05    5.53183739e-05    5.62397148e-05    2.0353    1.6382   11079    3.84546334e-08
8.00000000e-05    5.67490187e-05    5.69961436e-05    5.81710755e-05    2.4446    2.0198   11843    4.08226138e-08
1.00000000e-04    5.83665282e-05    5.86283930e-05    6.00403409e-05    2.7878    2.3517   12441    4.31942408e-08
1.20000000e-04    5.99444612e-05    6.02290012e-05    6.18531409e-05    3.0858    2.6258   13154    4.55849189e-08
1.40000000e-04    6.14881392e-05    6.17936259e-05    6.36143030e-05    3.3423    2.8621   13803    4.79840856e-08
1.60000000e-04    6.30020753e-05    6.33277689e-05    6.53280036e-05    3.5604    3.0618   14586    5.03962521e-08
1.80000000e-04    6.44872544e-05    6.48314505e-05    6.69978847e-05    3.7473    3.2336   15247    5.28179257e-08
2.00000000e-04    6.59430981e-05    6.63123100e-05    6.86271453e-05    3.9111    3.3731   15893    5.52583836e-08
2.20000000e-04    6.73806762e-05    6.77835115e-05    7.02186127e-05    4.0416    3.4679   16720    5.77375021e-08
2.40000000e-04    6.87917956e-05    6.92219218e-05    7.17748012e-05    4.1561    3.5568   17289    6.02139570e-08
2.60000000e-04    7.01797375e-05    7.06413097e-05    7.32979576e-05    4.2542    3.6245   18060    6.27086352e-08
2.80000000e-04    7.15525445e-05    7.20443136e-05    7.47901002e-05    4.3289    3.6713   18922    6.52242780e-08
3.00000000e-04    7.29037733e-05    7.34338813e-05    7.62530498e-05    4.3923    3.6971   19502    6.77645923e-08
3.20000000e-04    7.42355792e-05    7.48037817e-05    7.76884554e-05    4.4445    3.7131   20327    7.03164558e-08
3.40000000e-04    7.55511125e-05    7.61582859e-05    7.90978167e-05    4.4839    3.7163   21013    7.28860115e-08
3.60000000e-04    7.68491208e-05    7.75151720e-05    8.04825020e-05    4.5145    3.6869   21742    7.55063182e-08
3.80000000e-04    7.81321054e-05    7.88530055e-05    8.18437635e-05    4.5351    3.6542   22775    7.81351350e-08
4.00000000e-04    7.94001740e-05    8.01735554e-05    8.31827514e-05    4.5473    3.6176   23271    8.07741042e-08
4.20000000e-04    8.06512805e-05    8.14942756e-05    8.45005245e-05    4.5553    3.5577   24126    8.34572502e-08
4.40000000e-04    8.18901678e-05    8.28004034e-05    8.57980603e-05    4.5548    3.4939   24841    8.61538659e-08
4.60000000e-04    8.31165009e-05    8.41012798e-05    8.70762634e-05    4.5475    3.4165   25638    8.88822569e-08
4.80000000e-04    8.43280072e-05    8.53958957e-05    8.83359732e-05    4.5372    3.3283   26411    9.16397426e-08
5.00000000e-04    8.55279748e-05    8.66959700e-05    8.95779698e-05    4.5212    3.2173   27465    9.44512443e-08
5.20000000e-04    8.67163628e-05    8.79745451e-05    9.08029800e-05    4.5005    3.1149   27908    9.72576841e-08
5.40000000e-04    8.78874533e-05    8.92573628e-05    9.20116823e-05    4.4823    2.9934   28941    1.00114727e-07
5.60000000e-04    8.90492932e-05    9.05238778e-05    9.32047112e-05    4.4584    2.8763   29554    1.02976034e-07
5.80000000e-04    9.01987016e-05    9.18224657e-05    9.43826610e-05    4.4330    2.7126   30648    1.05951660e-07
6.00000000e-04    9.13364230e-05    9.30798691e-05    9.55460894e-05    4.4059    2.5812   31423    1.08873301e-07
6.20000000e-04    9.24634075e-05    9.43706447e-05    9.66955206e-05    4.3767    2.4043   32302    1.11913817e-07
6.40000000e-04    9.35779207e-05    9.56503315e-05    9.78314480e-05    4.3478    2.2295   33272    1.14969548e-07
6.60000000e-04    9.46823672e-05    9.69422802e-05    9.89543365e-05    4.3171    2.0333   34224    1.18096309e-07
6.80000000e-04    9.57757076e-05    9.82306115e-05    1.00064625e-04    4.2861    1.8328   34870    1.21256090e-07
7.00000000e-04    9.68585762e-05    9.95361882e-05    1.01162729e-04    4.2547    1.6078   36068    1.24500723e-07
7.20000000e-04    9.79292020e-05    1.00844894e-04    1.02249040e-04    4.2248    1.3733   36820    1.27796128e-07
7.40000000e-04    9.89915529e-05    1.02164533e-04    1.03323931e-04    4.1930    1.1221   38046    1.31162646e-07
7.60000000e-04    1.00040532e-04    1.03484229e-04    1.04387754e-04    4.1645    0.8655   38871    1.34573082e-07
7.80000000e-04    1.01080543e-04    1.04821250e-04    1.05440845e-04    4.1353    0.5876   40096    1.38072927e-07
8.00000000e-04    1.02109344e-04    1.06165520e-04    1.06483521e-04    4.1078    0.2986   41058    1.41637040e-07
8.20000000e-04    1.03129064e-04    1.07536789e-04    1.07516086e-04    4.0803    0.0193   42147    1.45319534e-07
8.40000000e-04    1.04139462e-04    1.08881761e-04    1.08538828e-04    4.0533    0.3160   43224    1.48977312e-07
8.60000000e-04    1.05139210e-04    1.10272167e-04    1.09552023e-04    4.0281    0.6574   44410    1.52806449e-07
8.80000000e-04    1.06128358e-04    1.11682315e-04    1.10555933e-04    4.0048    1.0188   45465    1.56739581e-07
9.00000000e-04    1.07108146e-04    1.13131428e-04    1.11550808e-04    3.9826    1.4170   46701    1.60833459e-07
9.20000000e-04    1.08077217e-04    1.14578287e-04    1.12536889e-04    3.9629    1.8140   48072    1.64973623e-07
9.40000000e-04    1.09039851e-04    1.16022232e-04    1.13514404e-04    3.9418    2.2093   49270    1.69157906e-07
9.60000000e-04    1.09993316e-04    1.17486344e-04    1.14483572e-04    3.9222    2.6229   50649    1.73454130e-07
9.80000000e-04    1.10939416e-04    1.18954970e-04    1.15444605e-04    3.9025    3.0407   52054    1.77817725e-07
1.00000000e-03    1.11875210e-04    1.20435641e-04    1.16397703e-04    3.8854    3.4691   53203    1.82271984e-07
1.02000000e-03    1.12802196e-04    1.21968506e-04    1.17343060e-04    3.8697    3.9418   54899    1.86941307e-07
1.04000000e-03    1.13720269e-04    1.23491214e-04    1.18280862e-04    3.8557    4.4051   56233    1.91638158e-07
1.06000000e-03    1.14626418e-04    1.25101535e-04    1.19211287e-04    3.8460    4.9410   57776    1.96668652e-07
1.08000000e-03    1.15521793e-04    1.26721970e-04    1.20134505e-04    3.8396    5.4834   59287    2.01796530e-07
1.10000000e-03    1.16415005e-04    1.28302158e-04    1.21050683e-04    3.8295    5.9904   60884    2.06860603e-07
1.12000000e-03    1.17301322e-04    1.29895397e-04    1.21959979e-04    3.8198    6.5066   62541    2.12030037e-07
1.14000000e-03    1.18177804e-04    1.31523940e-04    1.22862545e-04    3.8130    7.0497   64207    2.17379951e-07
1.16000000e-03    1.19050814e-04    1.33137576e-04    1.23758529e-04    3.8040    7.5785   66027    2.22746638e-07
1.18000000e-03    1.19911151e-04    1.34784134e-04    1.24648072e-04    3.8002    8.1317   67877    2.28290274e-07
1.20000000e-03    1.20767428e-04    1.36511508e-04    1.25531312e-04    3.7950    8.7470   69639    2.34179241e-07
1.22000000e-03    1.21615135e-04    1.38196891e-04    1.26408381e-04    3.7919    9.3257   71333    2.39997332e-07
1.24000000e-03    1.22456270e-04    1.39889134e-04    1.27279407e-04    3.7894    9.9071   73174    2.45910928e-07
1.26000000e-03    1.23287139e-04    1.41632387e-04    1.28144512e-04    3.7905   10.5255   75171    2.52078039e-07
1.28000000e-03    1.24117590e-04    1.43353243e-04    1.29003816e-04    3.7877   11.1233   76979    2.58240830e-07
1.30000000e-03    1.24938990e-04    1.45090261e-04    1.29857433e-04    3.7876   11.7304   79113    2.64536978e-07
1.32000000e-03    1.25754052e-04    1.46848822e-04    1.30705476e-04    3.7882   12.3509   81083    2.70988461e-07
