# Poly-125, dt=2us, front-radius.dat (cols: time R_front R_area R_anal err_front err_area)
# Front radius analysis for old_run
# dt = 2.00e-06 s
# Columns: time[s]  R_front[m]  R_area[m]  R_anal[m]  err_front[%]  err_area[%]  n_elems  surface_area[m2]
1.06000000e-03    1.14244888e-04    1.17473703e-04    1.19211287e-04    4.1660    1.4576   35020    1.73416806e-07
1.08000000e-03    1.15185055e-04    1.18576404e-04    1.20134505e-04    4.1199    1.2970   35558    1.76687740e-07
1.10000000e-03    1.16121968e-04    1.19681784e-04    1.21050683e-04    4.0716    1.1308   36163    1.79997292e-07
1.12000000e-03    1.17044632e-04    1.20827267e-04    1.21959979e-04    4.0303    0.9288   36986    1.83459316e-07
1.14000000e-03    1.17966873e-04    1.21950476e-04    1.22862545e-04    3.9847    0.7423   37351    1.86886042e-07
1.16000000e-03    1.18881666e-04    1.23078172e-04    1.23758529e-04    3.9406    0.5497   38365    1.90358353e-07
1.18000000e-03    1.19786332e-04    1.24215220e-04    1.24648072e-04    3.9004    0.3473   38995    1.93891820e-07
1.20000000e-03    1.20688724e-04    1.25377588e-04    1.25531312e-04    3.8577    0.1225   39623    1.97537559e-07
1.22000000e-03    1.21583788e-04    1.26516506e-04    1.26408381e-04    3.8167    0.0855   40549    2.01142686e-07
1.24000000e-03    1.22469494e-04    1.27675880e-04    1.27279407e-04    3.7790    0.3115   41168    2.04846044e-07
1.26000000e-03    1.23352903e-04    1.28874279e-04    1.28144512e-04    3.7392    0.5695   42074    2.08709570e-07
1.28000000e-03    1.24228277e-04    1.30064508e-04    1.29003816e-04    3.7019    0.8222   43000    2.12582478e-07
1.30000000e-03    1.25099033e-04    1.31243564e-04    1.29857433e-04    3.6643    1.0674   43614    2.16454139e-07
1.32000000e-03    1.25962857e-04    1.32426286e-04    1.30705476e-04    3.6285    1.3166   44553    2.20372940e-07
1.34000000e-03    1.26823376e-04    1.33611743e-04    1.31548052e-04    3.5916    1.5688   45323    2.24336079e-07
1.36000000e-03    1.27678986e-04    1.34806431e-04    1.32385265e-04    3.5550    1.8289   46215    2.28365810e-07
1.38000000e-03    1.28531089e-04    1.35972630e-04    1.33217217e-04    3.5177    2.0684   47176    2.32334047e-07
1.40000000e-03    1.29375073e-04    1.37191510e-04    1.34044006e-04    3.4831    2.3481   47978    2.36518075e-07
1.42000000e-03    1.30213339e-04    1.38404524e-04    1.34865726e-04    3.4496    2.6239   48859    2.40719037e-07
1.44000000e-03    1.31048945e-04    1.39591460e-04    1.35682469e-04    3.4150    2.8810   49791    2.44865479e-07
1.46000000e-03    1.31878614e-04    1.40803634e-04    1.36494326e-04    3.3816    3.1571   50666    2.49136632e-07
1.48000000e-03    1.32699176e-04    1.42037846e-04    1.37301382e-04    3.3519    3.4497   51389    2.53523382e-07
1.50000000e-03    1.33516657e-04    1.43301309e-04    1.38103722e-04    3.3215    3.7635   52286    2.58053753e-07
1.52000000e-03    1.34327596e-04    1.44545646e-04    1.38901427e-04    3.2929    4.0635   53431    2.62554758e-07
1.54000000e-03    1.35133315e-04    1.45778918e-04    1.39694578e-04    3.2652    4.3555   54394    2.67054136e-07
1.56000000e-03    1.35932715e-04    1.47094043e-04    1.40483250e-04    3.2392    4.7058   55170    2.71894255e-07
